rank,player_id,stint_rapm_100,ci_lo,ci_hi,poss,player,team,official_min,lineup_rapm,delta
107,1629652,1.2283393764276271,-0.876967931132263,3.6881047526361,4555.499999999981,Luguentz Dort,OKC,2245.971666666667,-0.2756861529873933,1.5040255294150204
174,1628415,0.4545312038996442,-2.142528809530752,2.903085577826453,4424.079999999979,Dillon Brooks,HOU,2226.7383333333332,-1.0404334827812431,1.4949646866808872
16,1629731,3.674685747442317,0.6124694301612768,6.439704437366376,2158.240000000009,Dean Wade,CLE,1108.08,2.2019775859615702,1.472708161480747
70,203932,1.8369515004276054,-0.4159530240224991,3.9618070084873267,4491.299999999983,Aaron Gordon,DEN,2296.81,0.38532417427953464,1.4516273261480708
153,1641709,0.6902557254758334,-2.0826892109333426,3.4045724417427055,3178.879999999998,Ausar Thompson,DET,1582.805,-0.736915978887059,1.4271717043628924
326,203952,-1.1184324426535144,-4.173077433670885,1.6954111707950668,3859.639999999988,Andrew Wiggins,GSW,1920.4483333333333,-2.405852305706769,1.2874198630532547
201,1630171,0.14383636395834515,-2.6671680153800916,2.869544839066275,3662.7599999999866,Isaac Okoro,CLE,1887.0566666666666,-1.0177289055237795,1.1615652694821246
268,1630183,-0.5507346680650449,-3.524402174794353,2.461793128409226,4076.2999999999806,Jaden McDaniels,MIN,2105.4533333333334,-1.7117982752138838,1.161063607148839
8,1628371,4.11259066751276,1.733748241701349,7.107493709710596,1742.60000000001,Jonathan Isaac,ORL,914.61,2.9563709682349635,1.1562196992777962
53,1627780,2.2739690637917547,-0.2804751236951131,5.008394610412888,1371.9000000000065,Gary Payton II,GSW,679.9,1.1370861852396665,1.1368828785520881
58,1630174,2.095868063962526,-0.7208474226556525,5.181053066490752,4058.47999999998,Aaron Nesmith,IND,1994.655,0.9755436939316395,1.1203243700308863
38,1630529,2.85449499658351,0.2691117286747944,5.6892915146093115,4568.519999999981,Herbert Jones,NOP,2321.4283333333333,1.7750896009643564,1.0794053956191534
113,1626172,1.1477465831660794,-1.7263486543982451,3.5491011335334304,2345.4200000000064,Kevon Looney,GSW,1194.4283333333333,0.0735871776325764,1.0741594055335029
219,1641717,-0.02649172501196446,-2.7347772176969762,2.8617572065917,3393.2399999999866,Cason Wallace,OKC,1691.9216666666666,-1.071308420110808,1.0448166950988436
167,1627759,0.5836891124372257,-2.198596657019239,3.3695639857820208,4682.279999999978,Jaylen Brown,BOS,2342.5216666666665,-0.4371415001485582,1.0208306125857838
298,1631212,-0.8031711784169289,-3.4021749643380783,1.5399780233858047,2866.019999999997,Peyton Watson,DEN,1487.8366666666666,-1.7716221496711027,0.9684509712541738
305,1629628,-0.8816246398966583,-3.2896308218518424,1.85339129679444,3688.1199999999935,RJ Barrett,TOR,1838.1333333333334,-1.848626043171654,0.9670014032749956
332,1629611,-1.2059066358896064,-3.824659734416425,1.7676877560545219,3611.599999999985,Terance Mann,LAC,1872.8916666666667,-2.167333220625544,0.9614265847359373
384,1630182,-1.9086847595438254,-4.743760620458813,0.7875281500768201,3016.58,Josh Green,DAL,1504.72,-2.852017523929633,0.9433327643858076
86,1630228,1.5109417939932717,-1.0868474651389866,4.134415930367768,3925.4199999999864,Jonathan Kuminga,GSW,1949.5133333333333,0.5928430818919649,0.9180987121013068
221,1641710,-0.04547845046990988,-3.0292252015820584,2.2561297286001687,2277.4400000000082,Anthony Black,ORL,1164.21,-0.9546307676834496,0.9091523172135397
166,1626204,0.5923602159961355,-2.147203230385239,3.3226126774870233,2386.0400000000063,Larry Nance Jr.,NOP,1216.1383333333333,-0.29497381597872124,0.8873340319748568
313,1627749,-1.0181052968147892,-3.292404688184064,1.2244242402916117,5659.099999999977,Dejounte Murray,ATL,2783.3433333333332,-1.9039530085323533,0.885847711717564
137,1628372,0.9043936840787166,-1.7724263524137505,3.7205800020740094,2039.800000000014,Dennis Smith Jr.,BKN,1058.6583333333333,0.04218117778046751,0.8622125062982491
47,203076,2.540496569675752,-0.2317780847994752,5.028763173756028,5537.859999999983,Anthony Davis,LAL,2700.2433333333333,1.6865676228919444,0.8539289467838076
327,201976,-1.1253522327145324,-4.272571969430509,2.1845018116777988,2841.940000000002,Patrick Beverley,MIL,1462.5116666666668,-1.9654564930236469,0.8401042603091144
424,1628381,-2.542997081193763,-4.913639034234694,0.21436102357190961,3835.199999999988,John Collins,UTA,1901.06,-3.3542473763127036,0.8112502951189406
253,1629028,-0.4152618345988851,-3.229247052429024,2.3336512153682247,3497.7799999999884,Deandre Ayton,POR,1783.4983333333332,-1.2209522597739695,0.8056904251750844
24,1630162,3.4944658817452243,0.9479788038725234,6.276874193337676,5411.85999999998,Anthony Edwards,MIN,2770.383333333333,2.7041821538113378,0.7902837279338866
400,203084,-2.15628542630562,-4.901026590879102,0.17540496816234716,4775.519999999988,Harrison Barnes,SAC,2380.87,-2.9360151722744376,0.7797297459688175
159,1629639,0.6511218589429545,-2.3466750541587156,3.342968245983898,2767.280000000002,Tyler Herro,MIA,1407.105,-0.12229709808259753,0.7734189570255521
371,1631101,-1.724318229907959,-4.339247280481782,1.3973071653037559,2110.7200000000084,Shaedon Sharpe,POR,1059.0183333333334,-2.4936655066197653,0.7693472767118064
136,1627751,0.9048480977512824,-1.9582421176999876,3.47180014461037,2635.2800000000057,Jakob Poeltl,TOR,1319.1083333333333,0.15754585581170177,0.7473022419395806
104,1628386,1.259742516618678,-1.21230068304535,3.985438257424065,4785.879999999981,Jarrett Allen,CLE,2442.0616666666665,0.5199641695519757,0.7397783470667023
344,1631110,-1.4365070519520993,-4.18611805463381,0.9267515183145338,4463.199999999975,Jeremy Sochan,SAS,2193.095,-2.1713152057141762,0.734808153762077
1,1628983,5.525206700085102,3.0272083845411055,8.172248731866032,5203.319999999973,Shai Gilgeous-Alexander,OKC,2552.6866666666665,4.802198877950691,0.7230078221344112
373,1630208,-1.73236851086873,-3.9106222042343486,1.2239713237417165,3428.579999999992,Nick Richards,CHA,1758.7366666666667,-2.4466627928181666,0.7142942819494367
404,1627752,-2.2014006909738777,-4.680984110566218,0.44569225072176843,4295.019999999978,Taurean Prince,LAL,2107.6216666666664,-2.913991404081833,0.7125907131079554
363,1630559,-1.6531061858589726,-4.173596973535356,0.9470963703414305,5344.999999999989,Austin Reaves,LAL,2628.95,-2.360311066783456,0.7072048809244833
199,1627732,0.16561027005863727,-2.113740857812162,2.6520431891495897,731.5400000000012,Ben Simmons,BKN,358.9166666666667,-0.5255786392861982,0.6911889093448355
412,1626145,-2.3134930193066743,-4.646954005235876,-0.08909897690120956,4056.9799999999864,Tyus Jones,WAS,1932.6666666666667,-2.9837950225400904,0.6703020032334162
6,203994,4.73690803093876,1.8932337044356482,7.902888264944198,4147.939999999988,Jusuf Nurkić,PHX,2078.035,4.068251510627419,0.668656520311341
247,1630217,-0.3759823625673994,-3.1716781769262927,2.024189021822774,2895.999999999999,Desmond Bane,MEM,1442.8483333333334,-1.0304071050076775,0.654424742440278
438,1628380,-2.9542855666591272,-5.50713946214016,-0.1446223407569344,3096.119999999995,Zach Collins,SAS,1525.7283333333332,-3.605189116081467,0.6509035494223396
117,1630578,1.1141761910754298,-1.6679314344734708,3.679883420894428,4025.7599999999825,Alperen Sengun,HOU,2045.635,0.4793535375032696,0.6348226535721602
56,1626220,2.1825878685663853,-0.9982872448416474,5.2977216823240365,3876.4599999999864,Royce O'Neale,PHX,1954.2416666666666,1.565879118464743,0.6167087501016424
135,1627734,0.9076093689354005,-1.406690663446746,3.0514003719768454,5861.4599999999855,Domantas Sabonis,SAC,2928.0216666666665,0.29102034659629045,0.61658902233911
96,1629020,1.396735959350998,-0.9625639423476949,3.7510854018500512,1192.0600000000043,Jarred Vanderbilt,LAL,581.2366666666667,0.7802631517462799,0.6164728076047181
74,1629026,1.7399755578441385,-1.2974813409368968,4.355268151434965,2038.900000000013,Kenrich Williams,OKC,1029.0066666666667,1.1252704195832801,0.6147051382608584
52,1631096,2.299326071419811,-0.04982957450322999,4.4992821878856715,4883.039999999979,Chet Holmgren,OKC,2412.7966666666666,1.690889607428239,0.6084364639915723
450,1630703,-3.9640925298285876,-6.715156170754996,-1.0331733001291086,3498.659999999992,Scoot Henderson,POR,1765.3933333333334,-4.564638993538651,0.6005464637100633
28,1628369,3.237817192300571,0.8262090232519166,5.930896955541224,5200.139999999987,Jayson Tatum,BOS,2645.213333333333,2.6399801369981137,0.5978370553024575
415,203109,-2.327437244853609,-5.004113340027649,0.5127079815548486,2319.0000000000045,Jae Crowder,MIL,1155.6983333333333,-2.9158815818457717,0.5884443369921626
95,1629048,1.415137302043647,-0.8183573058798801,3.562371341449098,1856.0800000000077,Goga Bitadze,ORL,957.0866666666667,0.8313769815392457,0.5837603205044014
37,203110,2.864783555869308,-0.25180637107839676,5.229961862442404,3055.059999999997,Draymond Green,GSW,1490.1833333333334,2.2871290126298165,0.5776545432394915
