lam,cv_wmse
100.0,1931.9493339933704
200.0,1922.8929759113446
400.0,1912.278381632788
800.0,1902.4333312534668
1600.0,1895.8992648595322
3200.0,1893.8679219838154
6400.0,1895.9021120897746
