rank,player_id,rapm_100,ci_lo,ci_hi,poss,player,team,season_min,season_pm
1,1641705,6.49661489458643,3.5131725850523616,8.828771289441447,4090,Victor Wembanyama,SAS,1865.6483333333333,682
2,1628983,6.220715826593956,3.192100564851116,8.907394993625495,4962,Shai Gilgeous-Alexander,OKC,2258.9466666666667,788
3,202695,5.689084529091698,2.864030000839347,8.350147458866893,4356,Kawhi Leonard,LAC,2084.7283333333335,340
4,1631096,5.176166849592825,2.3350802567651963,7.705404464038708,4314,Chet Holmgren,OKC,1997.2683333333334,678
5,203999,4.938558489222226,2.5336763867204817,7.202638572211097,4996,Nikola Jokić,DEN,2264.855,555
6,1628401,4.544907262264463,1.6235857228514556,7.304779759321427,5467,Derrick White,BOS,2624.9566666666665,598
7,1628389,4.194215389210477,1.4148737352776466,6.720867985753664,5275,Bam Adebayo,MIA,2364.685,331
8,1642349,4.017836989301351,0.9647404660927423,6.864189546546635,3229,Ajay Mitchell,OKC,1472.7983333333334,502
9,1630595,3.903761212515025,1.53459644012328,6.466659174598493,4734,Cade Cunningham,DET,2171.6716666666666,518
10,1629674,3.8603188768599344,1.0941840708709754,6.548852320603325,3932,Neemias Queta,BOS,1926.2066666666667,480
11,202710,3.8230955756254486,1.2416973484204155,6.323180717982713,2581,Jimmy Butler III,GSW,1181.6766666666667,185
12,203935,3.814429644173161,0.7555416048930854,6.624398633982278,3789,Marcus Smart,LAL,1768.9783333333332,256
13,1630577,3.751834156714435,0.850629449695541,6.395140150052686,5004,Julian Champagnie,SAS,2265.963333333333,592
14,1628378,3.720379288020458,1.0709736221458535,6.529005929297332,5128,Donovan Mitchell,CLE,2342.0633333333335,370
15,1629130,3.717384360672009,1.1514485676045016,6.5200146318576575,4589,Duncan Robinson,DET,2113.1583333333333,536
16,1630163,3.6906542454083766,-0.04730453451478603,6.654651432276301,4304,LaMelo Ball,CHA,2017.4466666666667,416
17,1626164,3.620866464294907,0.9311748272236318,6.466004309295947,4697,Devin Booker,PHX,2146.43,201
18,203507,3.515977201603136,0.04871957025915634,6.396165699343552,2221,Giannis Antetokounmpo,MIL,1039.23,96
19,203468,3.4360779045659444,-0.4971602638075333,6.456577531205326,4986,CJ McCollum,ATL,2263.3716666666664,92
20,1630700,3.387985851717136,0.4844770772363626,6.199169584195779,5537,Dyson Daniels,ATL,2519.54,306
21,1630188,3.356274511839971,0.6268646304051517,5.923958035746043,2451,Jalen Smith,CHI,1095.3883333333333,86
22,1627936,3.3348429975594893,0.6115155480652885,5.873542182538557,2260,Alex Caruso,OKC,1020.3466666666667,382
23,1628978,3.310224784134972,0.5727176568881968,5.565647320920524,5442,Donte DiVincenzo,MIN,2494.036666666667,337
24,201950,3.2751328570913043,0.48668558058473194,5.889766768405049,3446,Jrue Holiday,POR,1560.4016666666666,197
25,1628384,3.2010049448117055,0.9129719127974278,5.868384958824246,4729,OG Anunoby,NYK,2223.8716666666664,407
26,1631217,3.1688045516347825,-0.6566852651817373,6.344604307943381,3955,Moussa Diabaté,CHA,1898.9566666666667,345
27,1630182,3.1121848109010033,0.31007068014493067,6.389211752169362,1921,Josh Green,CHA,907.9283333333333,207
28,1631221,3.0429555189926796,0.19043713593612158,5.649992291910619,4864,Collin Gillespie,PHX,2281.8016666666667,200
29,1641744,3.0036034597146726,0.6796606634753595,5.195040902362792,619,Zach Edey,MEM,283.8516666666667,113
30,1642864,2.982744278561889,0.17878773645287604,5.517024340777383,2268,Hugo González,BOS,1083.93,246
31,1630170,2.973796486234178,0.25391134720584885,5.338529413032768,4496,Devin Vassell,SAS,2044.2316666666666,492
32,203500,2.9425943877153435,0.8363985439136555,5.405882617856273,1548,Steven Adams,HOU,730.365,194
33,1641706,2.9365555064396944,-1.188436358800343,5.9239086330031014,4187,Brandon Miller,CHA,1968.3116666666667,372
34,203932,2.8783203612896133,0.31430496029224075,5.396819546903899,2142,Aaron Gordon,DEN,1004.9583333333334,272
35,1642347,2.8475657158823364,-0.09914252204196844,5.538497517909774,4032,Jamal Shead,TOR,1852.2383333333332,231
36,1631105,2.8043359919368025,0.1809204794175023,5.311695623094426,4283,Jalen Duren,DET,1975.8533333333332,480
37,1628392,2.7152507087065927,-0.04911458501518155,5.140124523213595,2428,Isaiah Hartenstein,OKC,1137.425,365
38,1628374,2.713162375929378,0.0918096231227464,5.3424340869494396,3198,Lauri Markkanen,UTA,1442.5966666666666,-55
39,1630540,2.671025554244837,0.11343279433262186,5.085745642235121,2301,Miles McBride,NYK,1080.035,224
40,1630241,2.659176930473367,-0.14902157004718614,5.512391903622618,3017,Sam Merrill,CLE,1377.0733333333333,242
41,1629684,2.6435485537262133,0.0028409161271614265,5.212447136966524,1529,Grant Williams,CHA,711.4533333333334,203
42,1627750,2.589087846479164,0.12169051887647558,4.920068294995282,5684,Jamal Murray,DEN,2651.891666666667,433
43,1630567,2.5252220470953697,-0.6049779604860774,5.056445694617764,5791,Scottie Barnes,TOR,2680.7766666666666,266
44,1630591,2.5002843321772548,-0.43424839161669393,5.236933007320269,3502,Jalen Suggs,ORL,1573.57,181
45,203954,2.421427075247674,0.06476247051053048,4.532452261704017,2564,Joel Embiid,PHI,1200.6383333333333,155
46,1630558,2.3792113386360483,-0.397899327099979,4.826348963424363,4460,Davion Mitchell,MIA,2000.255,202
47,1629661,2.3526632043370017,-0.4043954804784684,4.973726433779903,3547,Cameron Johnson,DEN,1647.0316666666668,343
48,1630559,2.3515425760204822,-0.4830526503877016,5.041326453124924,3813,Austin Reaves,LAL,1761.65,182
49,1642396,2.3430452821139225,0.027737496028549635,4.611109029095363,639,Blake Hinson,UTA,285.43333333333334,45
50,1626157,2.3356200852456324,0.07853863210461917,4.882573593745205,4936,Karl-Anthony Towns,NYK,2321.7816666666668,378
51,1641708,2.292321816083194,-0.13376670998137946,4.791479355355855,6218,Amen Thompson,HOU,2953.15,368
52,1629001,2.2715411566627974,-0.3026819558545034,4.939066627929485,2477,De'Anthony Melton,GSW,1125.2566666666667,95
53,1642352,2.241295419879251,0.03566187531983048,4.533223054174783,653,Keshad Johnson,MIA,279.52166666666665,91
54,1628989,2.160695859066186,-0.6430347835441039,4.809303895063515,3444,Kevin Huerter,DET,1549.0766666666666,86
55,203991,2.0601886778364156,-0.6194660336189846,4.6201419143368225,1968,Clint Capela,HOU,925.6616666666666,162
56,1642851,2.052134597338773,-1.3905262224472967,5.216495006359713,5452,Kon Knueppel,CHA,2550.7466666666664,322
57,1629632,2.048944209689525,-0.6973936941953431,5.064077157205795,2747,Coby White,CHA,1249.7883333333334,94
58,1630573,2.0434053405326806,-0.8467980543364269,4.841863558275778,4058,Sam Hauser,BOS,1934.15,369
59,1642844,2.041726876609414,-0.6906510094439056,4.898514994490815,3430,Dylan Harper,SAS,1557.9566666666667,303
60,1630198,2.0011795644775634,-0.6595491787510248,4.947263536413923,3291,Isaiah Joe,OKC,1507.445,356
61,1630202,1.9984493038990316,-0.9099696628289373,4.865172467403383,5319,Payton Pritchard,BOS,2555.5233333333335,426
62,1642907,1.9841840631649263,-0.7231059566162648,4.57030340597399,3560,Cedric Coward,MEM,1597.9466666666667,23
63,1629638,1.9273529437576151,-1.0474604445498876,4.693726540351633,5822,Nickeil Alexander-Walker,ATL,2603.1766666666667,244
64,1631204,1.9088000930925,-0.6609583721400611,4.071266914963946,984,Marcus Sasser,DET,456.50333333333333,116
65,1631170,1.890242644736194,-0.7783395424871282,4.550912390340846,4831,Jaime Jaquez Jr.,MIA,2121.21,144
66,1628988,1.8853285682663112,-0.5424378901485339,4.629023894553317,1670,Aaron Holiday,HOU,780.7316666666667,129
67,1641717,1.8813384451806923,-0.9085407071279197,4.466136650100659,4462,Cason Wallace,OKC,2046.07,532
68,1630572,1.8654636288714068,-0.9374773690864415,4.450578342870953,3841,Sandro Mamukelashvili,TOR,1750.6916666666666,184
69,1629680,1.8490584282169094,-0.687314372630762,4.0283045094273255,1061,Matisse Thybulle,POR,479.65,88
70,1642853,1.795849189647087,-0.687393309490047,4.3049861601263215,1408,Rasheer Fleming,PHX,673.4016666666666,97
71,1628386,1.78941662948686,-1.1851328488447674,4.575758913938579,3349,Jarrett Allen,CLE,1519.12,213
72,1630178,1.7863353235256891,-0.5872394432439056,4.731810436076053,5720,Tyrese Maxey,PHI,2661.1183333333333,113
73,201142,1.7774611991602065,-0.8752978911005089,4.312825083407901,6046,Kevin Durant,HOU,2839.8233333333333,340
74,201939,1.7751150559748,-0.6127967660768746,4.406196733787754,2991,Stephen Curry,GSW,1328.7283333333332,89
75,1629013,1.7681055687788627,-0.8016110105662229,4.505750515278439,2522,Landry Shamet,NYK,1171.055,191
76,1631119,1.767054383782478,-0.8072886856130708,4.573300859605039,2818,Jaylin Williams,OKC,1277.375,304
77,1642263,1.7438583291476557,-0.9943118271131551,4.633043052675848,4620,Reed Sheppard,HOU,2146.923333333333,280
78,1642345,1.7413446298989468,-0.9835927748312924,4.217353001941331,3808,Oso Ighodaro,PHX,1808.37,161
79,1630217,1.7198724966846453,-1.0305011806331925,4.5366203077761265,5998,Desmond Bane,ORL,2756.045,135
80,1642419,1.7131123391303795,-1.1464703738371496,4.598257979836497,1135,Jamison Battle,TOR,516.7783333333333,89
81,1629029,1.6932800829643517,-0.9850258621909056,4.559864434101485,5009,Luka Dončić,LAL,2288.6016666666665,187
82,1629628,1.6898439743005425,-1.160569211853235,4.364931621833653,3728,RJ Barrett,TOR,1725.76,168
83,1642950,1.6812135216799213,-0.16740085201756139,3.485520404338887,781,Lachlan Olbrich,CHI,344.2216666666667,25
84,1630541,1.666260300903494,-1.130195906545279,4.61767733696672,3398,Moses Moody,GSW,1539.8983333333333,80
85,1627884,1.6531471074369266,-0.9838142768907803,4.457191278236632,2887,Derrick Jones Jr.,LAC,1349.5083333333334,130
86,1628973,1.6424183488743063,-0.8077756935802074,4.2139487239527105,5522,Jalen Brunson,NYK,2589.806666666667,353
