rank,player_id,rapm_100,ci_lo,ci_hi,poss,player,team,season_min,season_pm
1,1641705,6.496614894586432,3.5895592928203697,9.244782360073179,4090.0,Victor Wembanyama,SAS,1865.6483333333333,682
2,1628983,6.220715826593956,3.242993859777856,8.949023599080213,4962.0,Shai Gilgeous-Alexander,OKC,2258.9466666666667,788
3,202695,5.6890845290917,2.9520076935564195,8.286935331832936,4356.0,Kawhi Leonard,LAC,2084.7283333333335,340
4,1631096,5.176166849592827,2.579664466458743,7.771830544167805,4314.0,Chet Holmgren,OKC,1997.2683333333334,678
5,203999,4.938558489222221,2.129635341370439,7.068685868035314,4996.0,Nikola Jokić,DEN,2264.855,555
6,1628401,4.544907262264466,1.9486601155758525,7.443251148763536,5467.0,Derrick White,BOS,2624.9566666666665,598
7,1628389,4.194215389210476,1.8125960964736834,7.067413509872924,5275.0,Bam Adebayo,MIA,2364.685,331
8,1642349,4.017836989301355,1.1065285289578055,6.924080477621598,3229.0,Ajay Mitchell,OKC,1472.7983333333334,502
9,1630595,3.9037612125150227,1.8237425531607798,6.597291619708288,4734.0,Cade Cunningham,DET,2171.6716666666666,518
10,1629674,3.8603188768599295,1.3036855769201634,6.447081090377067,3932.0,Neemias Queta,BOS,1926.2066666666667,480
11,202710,3.8230955756254463,1.1875603363917773,6.542570447215075,2581.0,Jimmy Butler III,GSW,1181.6766666666667,185
12,203935,3.814429644173163,1.0846648356430897,6.670705828394343,3789.0,Marcus Smart,LAL,1768.9783333333332,256
13,1630577,3.7518341567144406,1.2876747477999606,6.415225290777329,5004.0,Julian Champagnie,SAS,2265.963333333333,592
14,1628378,3.720379288020456,1.2650910343940323,6.682840656672266,5128.0,Donovan Mitchell,CLE,2342.0633333333335,370
15,1629130,3.717384360672011,0.9773577280928852,6.2659659507482734,4589.0,Duncan Robinson,DET,2113.1583333333333,536
16,1630163,3.690654245408377,0.16487623687277947,6.6883654723380666,4304.0,LaMelo Ball,CHA,2017.4466666666667,416
17,1626164,3.620866464294904,1.0261629165726147,5.917406559737047,4697.0,Devin Booker,PHX,2146.43,201
18,203507,3.515977201603134,0.3478415619323922,6.636405688277049,2221.0,Giannis Antetokounmpo,MIL,1039.23,96
19,203468,3.436077904565945,-0.28183917325758784,6.307844522362723,4986.0,CJ McCollum,ATL,2263.3716666666664,92
20,1630700,3.387985851717139,0.2769265069062852,6.271850179967542,5537.0,Dyson Daniels,ATL,2519.54,306
