TEAM_ABBREVIATION,GROUP_NAME,MIN,POSS,PLUS_MINUS,net_100,NET_RATING
CHA,M. Bridges - L. Ball - M. Diabaté - B. Miller - K. Knueppel,509.246667,1054,280.0,26.565464895635674,26.4
DET,T. Harris - D. Robinson - C. Cunningham - J. Duren - A. Thompson,536.376667,1138,130.0,11.423550087873462,11.4
MIN,R. Gobert - J. Randle - D. DiVincenzo - A. Edwards - J. McDaniels,709.703333,1502,114.0,7.589880159786951,7.9
NYK,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,540.56,1131,20.0,1.7683465959328029,2.3
